job_id,company_name,industry,job_title,skills_required,experience_level,employment_type,location,salary_range_usd,posted_date,company_size,tools_preferred
294,"Knox, Diaz and Fowler",Education,Data Analyst,"AWS, MLflow, PyTorch",Mid,Internship,"New Monique, NZ",149023-169526,11-09-2024,Large,"LangChain, BigQuery, TensorFlow"
295,Arnold LLC,Healthcare,Quant Researcher,"PyTorch, Flask, Scikit-learn, AWS",Senior,Full-time,"Kathymouth, SB",64779-145970,20-04-2024,Startup,KDB+
296,Durham LLC,Education,Data Analyst,"SQL, TensorFlow, AWS, Reinforcement Learning, GCP, NumPy",Senior,Remote,"Lake David, JO",69887-112524,22-10-2024,Large,PyTorch
297,"Robinson, Chang and Jimenez",Retail,Data Scientist,"Excel, Hugging Face, FastAPI, CUDA, MLflow, Flask",Entry,Full-time,"South Richardshire, DM",119337-178013,08-11-2024,Mid,"Scikit-learn, FastAPI, KDB+"
298,"Dunn, Anderson and Barber",Tech,Data Analyst,"FastAPI, Pandas, Scikit-learn, PyTorch",Entry,Internship,"Melaniestad, ET",139462-194245,14-01-2025,Large,"LangChain, FastAPI"
299,Lee Ltd,Automotive,ML Engineer,"NumPy, MLflow, CUDA, Azure, C++, GCP",Entry,Internship,"North Rebeccaton, LB",68689-117329,12-06-2024,Mid,LangChain
300,Powell and Sons,Automotive,AI Researcher,"C++, Python, TensorFlow, Keras, Excel",Mid,Contract,"South Angel, AL",87545-175294,14-02-2025,Mid,BigQuery
301,"Thompson, Bonilla and Caldwell",Finance,Data Scientist,"Keras, FastAPI, AWS, SQL, Excel, C++",Mid,Contract,"Wellsport, ER",96034-114094,04-10-2023,Mid,"LangChain, MLflow"
302,"Allen, Navarro and Palmer",Retail,Quant Researcher,"Reinforcement Learning, TensorFlow, Azure, CUDA, GCP, Hugging Face",Mid,Full-time,"Millerton, SA",71002-108691,14-10-2023,Mid,"Scikit-learn, LangChain, BigQuery"
303,Hunt-Richards,Healthcare,Data Analyst,"Pandas, TensorFlow, PyTorch, Power BI, GCP",Mid,Full-time,"Michaelview, TO",48576-127886,25-11-2023,Startup,"Scikit-learn, TensorFlow, PyTorch"
304,Malone-Rodriguez,Retail,NLP Engineer,"Hugging Face, FastAPI, Python, NumPy",Senior,Contract,"North Johnstad, PY",133128-151676,03-11-2024,Mid,"Scikit-learn, TensorFlow, MLflow"
305,Shields Group,Retail,AI Product Manager,"Azure, SQL, Hugging Face, R, LangChain",Mid,Remote,"West Savannahbury, WS",72195-154714,12-08-2025,Large,"PyTorch, TensorFlow"
306,"Ball, Vasquez and Morales",E-commerce,AI Researcher,"PyTorch, AWS, Python, Scikit-learn",Entry,Internship,"West Dianastad, KM",70554-81212,09-07-2025,Mid,"BigQuery, FastAPI"
307,"Johnson, Zuniga and Martinez",E-commerce,Data Scientist,"Azure, AWS, Keras, R, FastAPI",Entry,Internship,"Williamberg, TG",72299-109340,17-02-2024,Large,"BigQuery, MLflow, LangChain"
308,Bryan-Rios,Tech,Computer Vision Engineer,"Keras, Azure, Hugging Face, CUDA, MLflow",Mid,Full-time,"Lake Williamton, BT",80922-120813,18-12-2023,Mid,PyTorch
309,"Williams, Garza and Hill",Education,Data Analyst,"Reinforcement Learning, SQL, AWS, FastAPI, TensorFlow, PyTorch",Senior,Internship,"Gateschester, PW",115164-135686,14-11-2023,Large,"BigQuery, MLflow"
310,Graves Group,Healthcare,Computer Vision Engineer,"Pandas, Scikit-learn, Excel, TensorFlow, GCP",Entry,Remote,"Port Michael, KM",100207-146233,01-02-2024,Startup,"MLflow, LangChain, KDB+"
311,"Rogers, Davila and Ashley",Tech,Computer Vision Engineer,"FastAPI, Keras, PyTorch, GCP, Excel",Senior,Contract,"North Jamesstad, BO",121180-193454,06-12-2023,Startup,"KDB+, Scikit-learn"
312,Strickland-Werner,Automotive,Data Scientist,"GCP, Excel, CUDA",Mid,Full-time,"Port Alicia, UY",71373-133244,21-10-2024,Large,"MLflow, LangChain, KDB+"
313,"Moreno, Wood and Murillo",E-commerce,Data Scientist,"SQL, Flask, AWS, Reinforcement Learning, FastAPI, LangChain",Mid,Internship,"North Brittany, TL",41433-118102,03-05-2024,Startup,"LangChain, KDB+, PyTorch"
314,"Singleton, Simon and Harper",Healthcare,ML Engineer,"FastAPI, Scikit-learn, Pandas, Azure, Reinforcement Learning",Entry,Contract,"Padillashire, KW",134278-152472,30-11-2024,Large,KDB+
315,"Dunn, Snyder and Nichols",Finance,AI Researcher,"LangChain, Hugging Face, Keras, Azure, Excel, FastAPI",Mid,Internship,"Port John, LA",52404-71046,11-06-2025,Startup,Scikit-learn
316,"Wallace, Gonzales and Wilkins",Automotive,NLP Engineer,"R, MLflow, Azure, Scikit-learn",Entry,Internship,"Josebury, LY",98266-145572,27-07-2024,Mid,PyTorch
317,Turner-Mccarthy,Finance,Data Analyst,"NumPy, R, MLflow, Flask, TensorFlow",Mid,Contract,"Ryanberg, MX",134179-212706,12-03-2025,Mid,"Scikit-learn, BigQuery, MLflow"
318,"Reyes, Miller and Burke",Retail,ML Engineer,"Scikit-learn, R, TensorFlow, Power BI, Azure",Mid,Internship,"West Julie, ZM",66368-81382,22-06-2024,Mid,"PyTorch, LangChain"
319,"Russell, Kim and Harris",Retail,AI Product Manager,"Keras, Python, Reinforcement Learning, Scikit-learn",Mid,Full-time,"South Staceyview, PY",115773-215403,15-09-2024,Startup,"KDB+, MLflow, TensorFlow"
320,Miller-Holland,E-commerce,NLP Engineer,"Flask, NumPy, Keras, AWS, SQL",Entry,Contract,"Lake Nicole, SB",130032-174733,19-02-2024,Startup,LangChain
321,Anthony-Gould,Automotive,AI Researcher,"Hugging Face, Azure, NumPy, Scikit-learn, Pandas",Senior,Full-time,"Davisstad, HR",105292-172671,22-09-2024,Large,"PyTorch, Scikit-learn, FastAPI"
322,Adams-Hill,Automotive,NLP Engineer,"Azure, R, CUDA",Senior,Full-time,"Lewisville, PW",98122-119896,18-12-2024,Large,"MLflow, PyTorch, FastAPI"
323,Salas Inc,Retail,AI Product Manager,"Excel, Keras, GCP, MLflow",Senior,Full-time,"West Veronica, CN",122419-186888,01-10-2024,Mid,"BigQuery, TensorFlow, FastAPI"
324,Morrison-Patel,Education,AI Researcher,"Pandas, Excel, NumPy, LangChain",Senior,Internship,"South Brianfurt, VE",73317-167850,01-01-2025,Startup,"Scikit-learn, FastAPI"
325,Moyer-Simpson,Healthcare,Data Scientist,"Pandas, FastAPI, Scikit-learn, AWS",Mid,Remote,"Lake Ricky, CF",52740-129282,25-01-2025,Mid,"MLflow, TensorFlow"
326,Jimenez PLC,Finance,AI Product Manager,"MLflow, Scikit-learn, Python, Reinforcement Learning, C++",Mid,Contract,"East Sandra, CR",130522-169280,21-01-2024,Mid,"FastAPI, Scikit-learn, MLflow"
327,Atkinson-Gonzales,Tech,NLP Engineer,"FastAPI, Azure, LangChain, GCP",Entry,Internship,"Jonathanland, LB",146948-163508,30-07-2024,Mid,KDB+
328,Cook LLC,Tech,Quant Researcher,"Reinforcement Learning, Hugging Face, Scikit-learn, C++",Senior,Internship,"Erikastad, TJ",63681-156946,17-04-2025,Mid,MLflow
329,Wagner Inc,Tech,Quant Researcher,"Azure, PyTorch, Keras",Mid,Full-time,"Lake Kelseystad, LB",102993-176878,06-08-2024,Mid,"TensorFlow, MLflow, FastAPI"
330,Galloway-Martinez,Tech,ML Engineer,"Pandas, FastAPI, TensorFlow, SQL",Senior,Full-time,"Michaelland, VC",146286-228405,02-04-2024,Large,MLflow
331,Love-Rhodes,Retail,Data Scientist,"AWS, Power BI, R, NumPy, Scikit-learn, LangChain",Senior,Internship,"Port Elizabeth, CZ",55546-105329,15-04-2024,Startup,"KDB+, FastAPI, LangChain"
332,Stewart-Kennedy,E-commerce,Data Scientist,"C++, AWS, MLflow",Senior,Remote,"Lake Kathleenstad, TZ",84124-96081,16-10-2024,Startup,LangChain
333,Sparks and Sons,Tech,NLP Engineer,"Flask, PyTorch, C++, Pandas, TensorFlow",Entry,Full-time,"North Emilymouth, FR",105170-188370,19-11-2023,Mid,"TensorFlow, KDB+"
334,White Inc,Healthcare,Computer Vision Engineer,"Azure, PyTorch, R, Reinforcement Learning, Flask, Keras",Mid,Full-time,"Port Robert, MV",55923-98036,07-10-2023,Mid,Scikit-learn
335,Watson Ltd,E-commerce,AI Researcher,"Scikit-learn, R, TensorFlow, PyTorch",Senior,Full-time,"Port Justinfurt, MK",120230-164622,05-02-2025,Mid,"BigQuery, LangChain, MLflow"
336,Clark-Bailey,Education,Data Analyst,"MLflow, Keras, C++, GCP, NumPy",Mid,Internship,"North Shelly, KZ",126208-174920,22-06-2025,Large,"BigQuery, TensorFlow"
337,Holland-Mcgee,Education,Quant Researcher,"GCP, Power BI, Python, Azure, Hugging Face, CUDA",Senior,Remote,"East Christiebury, LR",123659-207607,28-09-2024,Startup,"LangChain, Scikit-learn"
338,"Cummings, Schmidt and Clarke",Tech,Data Scientist,"C++, Excel, MLflow, Pandas, R, NumPy",Mid,Contract,"Stevenmouth, AD",78431-154672,22-04-2025,Large,"PyTorch, BigQuery"
339,Hines-Mckinney,E-commerce,Computer Vision Engineer,"Keras, FastAPI, Power BI, MLflow",Mid,Contract,"Lake Christopher, FR",60552-139539,10-03-2025,Large,"MLflow, LangChain"
340,Graves and Sons,Healthcare,Data Scientist,"Excel, PyTorch, R, Power BI, Flask, Pandas",Senior,Internship,"West Sara, BB",131559-209584,24-11-2024,Startup,TensorFlow
341,Walker-Davis,Tech,Computer Vision Engineer,"Power BI, R, Scikit-learn",Mid,Internship,"Erinton, MH",122855-194503,19-12-2024,Large,"TensorFlow, MLflow, Scikit-learn"
342,"Finley, Bruce and Wheeler",Healthcare,ML Engineer,"Excel, PyTorch, LangChain, Flask, GCP",Entry,Full-time,"West Donald, CG",58087-119465,12-09-2024,Mid,KDB+
343,Simmons-Evans,Tech,AI Product Manager,"Power BI, Scikit-learn, R, Pandas",Entry,Remote,"Thompsonport, BH",60085-116808,31-08-2024,Startup,FastAPI
344,Melton-Salazar,Education,Computer Vision Engineer,"Reinforcement Learning, Python, NumPy, LangChain",Entry,Internship,"Sanderston, KG",146409-165202,02-02-2025,Large,TensorFlow
345,"Anthony, Miller and Russell",E-commerce,Data Analyst,"TensorFlow, Keras, PyTorch, Reinforcement Learning",Senior,Internship,"East Linda, NZ",120234-139093,09-06-2024,Startup,"PyTorch, Scikit-learn"
346,Young-Anderson,Education,AI Researcher,"NumPy, GCP, AWS, Python, Keras",Senior,Contract,"East Ryantown, BZ",104105-197396,19-10-2024,Startup,"Scikit-learn, TensorFlow, KDB+"
347,"Conway, Hernandez and Perez",Finance,NLP Engineer,"MLflow, Power BI, Keras",Entry,Full-time,"Nunezside, TG",148487-177884,18-11-2023,Large,"PyTorch, TensorFlow, MLflow"
348,Anderson and Sons,Automotive,Quant Researcher,"TensorFlow, Power BI, Python, Keras, AWS",Senior,Internship,"Jadeview, BF",80455-100773,30-11-2023,Large,Scikit-learn
349,Ware-Ellis,Automotive,NLP Engineer,"SQL, MLflow, Power BI, FastAPI, NumPy",Senior,Full-time,"Leeview, MA",115657-181953,13-10-2024,Startup,"FastAPI, BigQuery, MLflow"
350,"Snyder, Simpson and Maxwell",Tech,AI Product Manager,"FastAPI, NumPy, C++, MLflow, GCP",Senior,Contract,"East Robert, CV",97381-144492,16-01-2024,Large,"Scikit-learn, MLflow"
351,Ellis Ltd,Retail,AI Researcher,"SQL, Pandas, Power BI, FastAPI",Entry,Internship,"Bullockton, KP",55751-133772,25-12-2023,Startup,MLflow
352,"Blair, Ruiz and Sanchez",Retail,Computer Vision Engineer,"FastAPI, Power BI, Azure, Python",Entry,Internship,"Perezview, SN",90552-188412,23-07-2025,Mid,"LangChain, KDB+"
353,Griffin-Dalton,Education,ML Engineer,"Python, PyTorch, Excel",Entry,Contract,"Knightmouth, AF",69230-128642,02-01-2024,Large,"LangChain, BigQuery, FastAPI"
354,Alexander PLC,Automotive,Data Analyst,"LangChain, GCP, R, MLflow, Scikit-learn",Entry,Contract,"Lake Marcia, MT",71489-149503,22-04-2025,Mid,"KDB+, PyTorch"
355,"Velazquez, Brewer and Murphy",E-commerce,Quant Researcher,"C++, LangChain, Power BI, Pandas, CUDA, TensorFlow",Senior,Remote,"Mooreville, NP",57739-75267,22-05-2025,Startup,FastAPI
356,Bean LLC,Education,Quant Researcher,"Excel, Power BI, Reinforcement Learning, SQL, NumPy",Senior,Internship,"Port Matthewhaven, ST",149192-228942,12-09-2025,Large,"PyTorch, TensorFlow, MLflow"
357,Rogers-Villanueva,E-commerce,ML Engineer,"Flask, FastAPI, CUDA",Mid,Internship,"New Kenneth, DO",91346-160302,09-06-2024,Large,"TensorFlow, FastAPI"
358,Taylor PLC,Tech,Data Analyst,"Power BI, MLflow, TensorFlow, AWS, Hugging Face",Senior,Remote,"Schroederport, DK",56886-146884,10-05-2024,Mid,FastAPI
359,Lee Group,Tech,Quant Researcher,"Python, Power BI, Scikit-learn, FastAPI, Excel, SQL",Entry,Full-time,"Taylorstad, MR",56258-108983,18-12-2024,Large,PyTorch
360,"Miller, Browning and Shaw",Tech,AI Product Manager,"Reinforcement Learning, CUDA, NumPy",Senior,Full-time,"Bryanburgh, SK",139096-176960,25-01-2024,Large,MLflow
361,"Branch, Elliott and Ramirez",Automotive,NLP Engineer,"Power BI, Keras, TensorFlow, FastAPI",Entry,Remote,"New Micheletown, NZ",120316-133437,21-08-2025,Large,"MLflow, TensorFlow, FastAPI"
362,"Reyes, Vincent and Hayes",Finance,AI Product Manager,"Hugging Face, R, LangChain",Mid,Internship,"Kathleenton, IQ",48868-94542,31-01-2025,Large,FastAPI
363,Rose Ltd,Finance,NLP Engineer,"Pandas, CUDA, AWS, TensorFlow, Python",Entry,Full-time,"South Brianmouth, JM",108994-183026,13-08-2025,Mid,"MLflow, FastAPI, BigQuery"
364,Miller-Bishop,Healthcare,AI Product Manager,"Hugging Face, GCP, Excel, NumPy",Senior,Remote,"West Stephaniefort, FR",118921-192736,02-12-2024,Large,"LangChain, FastAPI"
365,Krueger-Tanner,E-commerce,AI Product Manager,"LangChain, Reinforcement Learning, FastAPI, Power BI, AWS",Entry,Internship,"Port Rebecca, US",57113-75630,25-03-2024,Mid,"KDB+, TensorFlow, PyTorch"
366,"Johnson, Castaneda and Duke",Tech,AI Product Manager,"CUDA, FastAPI, Python",Mid,Full-time,"Powellshire, JM",70702-164914,12-05-2025,Startup,"MLflow, PyTorch"
367,"Riley, Beltran and Lucero",E-commerce,Data Analyst,"Flask, TensorFlow, Scikit-learn, MLflow",Entry,Full-time,"North Natalie, EC",114639-183492,09-06-2025,Startup,LangChain
368,Perez-Williams,Healthcare,AI Product Manager,"Scikit-learn, SQL, GCP, Hugging Face",Senior,Contract,"West Denisetown, VU",110697-201149,04-06-2024,Mid,MLflow
369,Silva-Russell,Retail,Data Analyst,"Reinforcement Learning, MLflow, PyTorch, LangChain, Hugging Face, AWS",Senior,Remote,"Petersonchester, UG",68664-136603,13-09-2024,Mid,"TensorFlow, PyTorch"
370,"Matthews, Bailey and Banks",Education,NLP Engineer,"R, Python, PyTorch, CUDA",Entry,Remote,"Daughertyborough, SA",64445-150617,08-09-2024,Large,"KDB+, PyTorch, FastAPI"
371,Santiago-King,Education,Quant Researcher,"MLflow, Keras, TensorFlow, CUDA, Flask",Entry,Remote,"Lake Linda, AT",74954-114010,12-10-2024,Mid,"Scikit-learn, PyTorch"
372,"Caldwell, Richardson and Hines",Retail,AI Researcher,"CUDA, Power BI, Hugging Face, Pandas, MLflow",Senior,Internship,"North Jesusfurt, AL",83014-110116,07-04-2025,Large,KDB+
373,"Washington, Smith and Hicks",Automotive,ML Engineer,"Flask, PyTorch, Reinforcement Learning, MLflow",Senior,Contract,"West Regina, AG",146097-192440,22-08-2024,Startup,"LangChain, PyTorch"
374,"Cummings, Ball and Owens",Healthcare,Data Analyst,"C++, NumPy, CUDA, GCP, TensorFlow, Hugging Face",Entry,Full-time,"Boydtown, HT",50137-121449,20-03-2025,Mid,"TensorFlow, Scikit-learn, PyTorch"
375,"Harrington, Gross and Kim",Tech,NLP Engineer,"Flask, CUDA, AWS",Senior,Full-time,"Lake Lisamouth, CR",96091-176352,25-11-2024,Startup,Scikit-learn
376,"Bryan, Harding and Hamilton",Finance,AI Product Manager,"R, Python, PyTorch, GCP, Power BI",Senior,Contract,"Campbellburgh, PL",118753-156568,03-05-2025,Mid,"MLflow, TensorFlow"
377,"Miller, Cox and Clark",Tech,Quant Researcher,"Hugging Face, MLflow, CUDA",Entry,Contract,"Jacksonberg, MR",56022-87385,24-09-2023,Large,"KDB+, PyTorch"
378,Watson-Boyle,Education,NLP Engineer,"FastAPI, TensorFlow, PyTorch",Senior,Full-time,"Geraldville, TT",65449-93935,22-08-2024,Mid,"Scikit-learn, PyTorch, TensorFlow"
379,"Montoya, Chambers and Bennett",E-commerce,Quant Researcher,"Excel, CUDA, Keras",Entry,Remote,"Odommouth, JO",53432-134809,09-02-2024,Startup,"PyTorch, Scikit-learn"
380,"Fields, Porter and Martinez",Finance,Quant Researcher,"Power BI, FastAPI, Azure, MLflow, CUDA",Entry,Full-time,"New Dawn, CV",91250-117518,10-02-2025,Mid,"KDB+, Scikit-learn, FastAPI"
381,"Gallegos, Ruiz and Ross",E-commerce,Data Scientist,"Reinforcement Learning, Hugging Face, GCP, Excel, MLflow, CUDA",Senior,Contract,"Proctorbury, HR",56274-130011,24-10-2024,Large,MLflow
382,Ingram LLC,Retail,Computer Vision Engineer,"Keras, Excel, Power BI, SQL, GCP",Mid,Internship,"Gonzalezbury, TW",100532-123437,28-07-2025,Large,"KDB+, TensorFlow"
383,Moody Inc,E-commerce,AI Product Manager,"LangChain, Scikit-learn, Keras, Power BI, Excel",Senior,Remote,"West Benjamin, DJ",133743-144254,13-11-2023,Mid,"Scikit-learn, FastAPI"
384,Walls-Kidd,Tech,AI Product Manager,"SQL, CUDA, AWS",Entry,Remote,"Wheelermouth, UY",44510-92759,20-10-2023,Startup,TensorFlow
385,Mullins Group,Automotive,NLP Engineer,"SQL, C++, CUDA, GCP, Flask, Reinforcement Learning",Entry,Contract,"Brianview, DJ",88577-147284,16-05-2025,Mid,BigQuery
386,King Group,Healthcare,NLP Engineer,"C++, Excel, Scikit-learn, FastAPI, Power BI",Mid,Full-time,"New Jeffreyhaven, AE",129724-218042,04-06-2024,Large,"LangChain, PyTorch"
387,Hansen-Stone,Retail,Quant Researcher,"C++, CUDA, Power BI, Azure, AWS, PyTorch",Entry,Internship,"West William, ID",41023-80713,15-03-2024,Mid,KDB+
388,Gardner Group,Retail,ML Engineer,"LangChain, Pandas, Scikit-learn, CUDA, Reinforcement Learning, TensorFlow",Entry,Internship,"Port Monicaborough, KW",106371-127550,16-04-2025,Startup,PyTorch
389,Leonard-Duke,Retail,AI Researcher,"Keras, PyTorch, AWS, SQL",Mid,Internship,"Patrickfurt, BD",56530-75014,04-01-2025,Mid,Scikit-learn
390,Patton and Sons,Retail,NLP Engineer,"Power BI, GCP, TensorFlow, CUDA, MLflow",Entry,Internship,"West Melissa, MH",119266-200044,14-03-2024,Startup,"BigQuery, LangChain, Scikit-learn"
391,Vazquez PLC,Automotive,AI Product Manager,"FastAPI, NumPy, R",Senior,Remote,"New Matthew, SC",131807-227051,20-03-2025,Large,PyTorch
392,Romero PLC,Tech,ML Engineer,"FastAPI, NumPy, R",Senior,Internship,"Christianland, PT",50349-109003,22-06-2024,Startup,LangChain
393,Howell PLC,Healthcare,Quant Researcher,"Flask, PyTorch, GCP",Senior,Contract,"Millermouth, CF",56567-116937,18-09-2024,Mid,"LangChain, FastAPI, TensorFlow"
394,Beltran PLC,Retail,Data Analyst,"Azure, PyTorch, Pandas, R, GCP",Entry,Full-time,"Alexiston, UY",137094-205303,09-04-2025,Large,"FastAPI, Scikit-learn"
395,Browning Inc,Healthcare,ML Engineer,"PyTorch, Azure, LangChain, Python",Senior,Internship,"Shariborough, BO",123710-203362,25-12-2024,Large,"Scikit-learn, MLflow"
396,Strong-Davis,Healthcare,Data Scientist,"Reinforcement Learning, Scikit-learn, TensorFlow, PyTorch, Hugging Face, Flask",Mid,Contract,"Jasonbury, CD",120259-184163,30-05-2024,Startup,PyTorch
397,"Richardson, Burton and Stephens",Finance,Quant Researcher,"LangChain, Pandas, Power BI",Entry,Remote,"Timothyland, LR",131912-166499,23-09-2024,Mid,"TensorFlow, FastAPI"
398,Salinas-Taylor,Retail,NLP Engineer,"PyTorch, MLflow, LangChain",Entry,Internship,"Georgeport, CI",74468-85718,13-09-2025,Mid,KDB+
399,Hunt Ltd,Finance,Data Analyst,"SQL, GCP, PyTorch",Entry,Remote,"Jacksonfort, PG",43013-128940,13-09-2025,Startup,"KDB+, TensorFlow, PyTorch"
400,Carr Group,Education,Data Scientist,"C++, GCP, Reinforcement Learning, R, Python, Power BI",Entry,Full-time,"Murphymouth, GM",55605-70305,23-09-2024,Startup,"PyTorch, KDB+, LangChain"
401,Harris LLC,E-commerce,NLP Engineer,"Reinforcement Learning, Pandas, NumPy, FastAPI",Entry,Full-time,"South Randytown, PA",99742-185700,25-10-2024,Mid,TensorFlow
402,Reyes-Lowery,Automotive,AI Product Manager,"Pandas, Keras, Scikit-learn, TensorFlow",Mid,Internship,"Samanthaborough, VA",103675-173394,26-07-2024,Startup,BigQuery
403,"Charles, Henry and Stark",Education,Computer Vision Engineer,"FastAPI, AWS, Hugging Face, R",Mid,Remote,"Valenzuelaborough, BF",126438-181388,25-04-2024,Startup,PyTorch
404,"Hill, Lucas and Alvarez",Healthcare,NLP Engineer,"C++, PyTorch, Flask",Mid,Remote,"Adamport, LC",45855-71005,16-01-2025,Mid,KDB+
405,Stone-Lee,Tech,AI Researcher,"LangChain, Pandas, AWS",Mid,Contract,"North Rebecca, LS",77831-145508,24-06-2024,Large,FastAPI
406,"Johnson, Williams and Perkins",Finance,Quant Researcher,"AWS, GCP, Azure, Scikit-learn, Python",Mid,Internship,"Bennettland, SN",91591-110529,11-11-2024,Mid,"FastAPI, TensorFlow"
407,Hays-Smith,Finance,AI Researcher,"FastAPI, NumPy, Excel",Entry,Full-time,"North Kristin, LC",115140-139207,21-04-2024,Mid,"MLflow, TensorFlow"
408,Hansen-Martin,Healthcare,ML Engineer,"Reinforcement Learning, GCP, PyTorch",Senior,Full-time,"Jessicaborough, BB",52749-82725,08-11-2024,Startup,"LangChain, MLflow, Scikit-learn"
409,Calderon Inc,Retail,Quant Researcher,"GCP, SQL, R, AWS",Mid,Remote,"Alexanderfort, PT",59860-82154,29-11-2024,Startup,LangChain
410,Brown Group,Healthcare,AI Researcher,"CUDA, SQL, AWS, Azure, Python",Senior,Contract,"Jameston, RO",134954-197152,19-08-2025,Startup,"LangChain, Scikit-learn"
411,"Robertson, Davis and Gray",Tech,Data Analyst,"Excel, Scikit-learn, Flask, Power BI",Senior,Contract,"Martintown, TW",89200-180591,09-08-2025,Startup,"KDB+, FastAPI"
412,"Anderson, Lawrence and Drake",Automotive,AI Researcher,"FastAPI, Azure, Pandas, NumPy",Entry,Full-time,"Annastad, AT",54169-136576,28-06-2025,Startup,"BigQuery, TensorFlow, KDB+"
413,Lynn-Burke,Healthcare,Data Scientist,"PyTorch, Power BI, Scikit-learn",Entry,Remote,"East Carolport, BA",77375-151774,17-12-2024,Startup,"LangChain, MLflow"
414,Travis-Glass,Healthcare,AI Product Manager,"Hugging Face, PyTorch, Reinforcement Learning, MLflow, Scikit-learn",Mid,Internship,"Simmonsside, MW",44125-73147,11-08-2025,Large,"MLflow, Scikit-learn"
415,Leonard LLC,Education,Data Analyst,"LangChain, Python, MLflow, TensorFlow, FastAPI",Entry,Internship,"Bellfort, MV",68767-93624,05-02-2025,Mid,FastAPI
416,"Kim, Allison and Ryan",Retail,ML Engineer,"Keras, Python, SQL",Mid,Contract,"Bowersberg, BD",43289-102091,29-11-2024,Large,"KDB+, PyTorch"
417,"Ellis, Townsend and Harrison",Finance,AI Product Manager,"SQL, R, TensorFlow, Flask",Entry,Internship,"South Andreamouth, AF",99708-126007,19-05-2024,Mid,"KDB+, LangChain"
418,"Steele, Aguilar and Jackson",Finance,ML Engineer,"Reinforcement Learning, Keras, NumPy, Pandas, Hugging Face, R",Entry,Contract,"North Amandamouth, IE",57692-81756,06-04-2025,Large,TensorFlow
419,Peck Group,Finance,AI Researcher,"Python, LangChain, CUDA, C++",Mid,Full-time,"West Christopherville, HR",54082-149736,17-09-2025,Mid,LangChain
420,Higgins-Hall,E-commerce,Data Analyst,"Keras, R, NumPy, Reinforcement Learning",Mid,Contract,"Suttonland, MV",101456-135672,16-03-2024,Startup,"Scikit-learn, KDB+, MLflow"
421,"Hicks, Sullivan and Kline",Education,AI Researcher,"TensorFlow, Keras, Python, FastAPI",Mid,Contract,"Steveborough, LR",77948-107734,15-03-2025,Startup,"LangChain, FastAPI, TensorFlow"
422,Marquez and Sons,Retail,AI Researcher,"Pandas, C++, PyTorch, TensorFlow",Mid,Contract,"East Aaron, IQ",143838-191740,19-02-2024,Mid,LangChain
423,Moore-Mann,Education,Quant Researcher,"FastAPI, CUDA, R, Scikit-learn",Entry,Contract,"Melvintown, HT",64090-112937,20-02-2024,Large,"TensorFlow, PyTorch"
424,Ramirez Ltd,Finance,ML Engineer,"LangChain, MLflow, Flask, AWS",Entry,Internship,"South Jeremyton, AM",67555-113613,11-07-2025,Large,LangChain
425,"Garcia, Drake and Gonzalez",Finance,Computer Vision Engineer,"Excel, FastAPI, Hugging Face, LangChain, Flask",Senior,Full-time,"Jamesfurt, BW",73755-149397,14-12-2024,Startup,"BigQuery, Scikit-learn"
426,"Edwards, Jackson and Baker",Automotive,Data Analyst,"NumPy, MLflow, TensorFlow",Entry,Contract,"Sullivanshire, WS",147219-223596,11-11-2024,Large,"PyTorch, TensorFlow"
427,Turner Group,E-commerce,NLP Engineer,"TensorFlow, Power BI, GCP, Flask, Keras, Pandas",Entry,Internship,"Mariaburgh, AT",120574-164253,13-02-2025,Mid,"FastAPI, BigQuery, TensorFlow"
428,Castro PLC,Education,Quant Researcher,"TensorFlow, GCP, Reinforcement Learning, Hugging Face",Senior,Internship,"West Tammie, KW",76450-162635,30-11-2023,Startup,"PyTorch, TensorFlow, KDB+"
429,"Coffey, Shannon and Mclean",Automotive,ML Engineer,"MLflow, Keras, Reinforcement Learning, Flask, TensorFlow, R",Entry,Full-time,"Johnfurt, MR",105179-161042,30-05-2025,Startup,"PyTorch, KDB+"
430,Wilcox Ltd,Automotive,Computer Vision Engineer,"FastAPI, R, Scikit-learn, SQL",Mid,Full-time,"Robertsonbury, VN",100296-111823,07-03-2024,Startup,"TensorFlow, FastAPI"
431,Mcbride-Skinner,E-commerce,AI Product Manager,"PyTorch, CUDA, Reinforcement Learning, C++",Entry,Full-time,"Port Daleborough, MW",53381-103735,19-06-2025,Mid,"TensorFlow, BigQuery, LangChain"
432,Alexander Inc,E-commerce,AI Researcher,"FastAPI, C++, MLflow, Reinforcement Learning",Senior,Full-time,"East Lynnchester, FI",116301-214253,27-06-2024,Large,"TensorFlow, MLflow"
433,Ramsey-Barnes,Tech,AI Researcher,"LangChain, Python, AWS, R, Azure, Pandas",Entry,Contract,"Jackburgh, BB",140443-182231,29-11-2023,Mid,"BigQuery, MLflow, KDB+"
434,Clark and Sons,Retail,NLP Engineer,"FastAPI, NumPy, C++, Azure",Entry,Contract,"East Samuelfort, PS",92799-159163,10-07-2024,Mid,"MLflow, KDB+, FastAPI"
435,Blair-Shaffer,Tech,AI Product Manager,"Keras, PyTorch, R, Hugging Face, CUDA",Entry,Contract,"Lindseymouth, CM",48181-75949,29-08-2024,Startup,BigQuery
